{'Time': '2026-04-13T17:48:01.788193+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18003525', 'Gig0-0_In_uPackets': '159945', 'Gig0-0_Out_Octet': '11966559', 'Gig0-0_Out_uPackets': '107413'}
{'Time': '2026-04-13T17:49:01.517168+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18004406', 'Gig0-0_In_uPackets': '159953', 'Gig0-0_Out_Octet': '11967656', 'Gig0-0_Out_uPackets': '107423'}
{'Time': '2026-04-13T17:50:02.165520+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18005287', 'Gig0-0_In_uPackets': '159961', 'Gig0-0_Out_Octet': '11968813', 'Gig0-0_Out_uPackets': '107434'}
{'Time': '2026-04-13T17:51:01.881624+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18006170', 'Gig0-0_In_uPackets': '159969', 'Gig0-0_Out_Octet': '11969973', 'Gig0-0_Out_uPackets': '107445'}
{'Time': '2026-04-13T17:52:01.601477+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18007054', 'Gig0-0_In_uPackets': '159977', 'Gig0-0_Out_Octet': '11971072', 'Gig0-0_Out_uPackets': '107455'}
{'Time': '2026-04-13T17:53:02.228042+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18007935', 'Gig0-0_In_uPackets': '159985', 'Gig0-0_Out_Octet': '11971826', 'Gig0-0_Out_uPackets': '107465'}
{'Time': '2026-04-13T17:54:02.201070+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18008816', 'Gig0-0_In_uPackets': '159993', 'Gig0-0_Out_Octet': '11972983', 'Gig0-0_Out_uPackets': '107476'}
{'Time': '2026-04-13T17:55:01.727055+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18009649', 'Gig0-0_In_uPackets': '160000', 'Gig0-0_Out_Octet': '11974277', 'Gig0-0_Out_uPackets': '107489'}
{'Time': '2026-04-13T17:56:02.097435+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18010530', 'Gig0-0_In_uPackets': '160008', 'Gig0-0_Out_Octet': '11975494', 'Gig0-0_Out_uPackets': '107501'}
{'Time': '2026-04-13T17:57:01.563667+02:00', 'hostname': 'r1.cisco.com', 'Gig0-0_In_Octet': '18011413', 'Gig0-0_In_uPackets': '160017', 'Gig0-0_Out_Octet': '11976594', 'Gig0-0_Out_uPackets': '107512'}
